UHFCode,Year,DepressionPercentValue,Borough
101,2017-2018,9.7,Bronx
102,2017-2018,8.8,Bronx
103,2017-2018,16.6,Bronx
104,2017-2018,10.8,Bronx
105,2017-2018,21.0,Bronx
106,2017-2018,14.5,Bronx
107,2017-2018,14.9,Bronx
201,2017-2018,9.6,Brooklyn
202,2017-2018,9.6,Brooklyn
203,2017-2018,10.3,Brooklyn
204,2017-2018,12.2,Brooklyn
205,2017-2018,8.3,Brooklyn
206,2017-2018,5.5,Brooklyn
207,2017-2018,7.0,Brooklyn
208,2017-2018,7.3,Brooklyn
209,2017-2018,6.8,Brooklyn
210,2017-2018,12.9,Brooklyn
211,2017-2018,8.8,Brooklyn
301,2017-2018,11.0,Manhattan
302,2017-2018,8.7,Manhattan
303,2017-2018,17.9,Manhattan
304,2017-2018,8.7,Manhattan
305,2017-2018,6.9,Manhattan
306,2017-2018,14.8,Manhattan
307,2017-2018,7.2,Manhattan
308,2017-2018,11.4,Manhattan
309,2017-2018,14.7,Manhattan
310,2017-2018,13.1,Manhattan
401,2017-2018,13.1,Queens
402,2017-2018,6.1,Queens
403,2017-2018,5.5,Queens
404,2017-2018,4.9,Queens
405,2017-2018,10.7,Queens
406,2017-2018,12.5,Queens
407,2017-2018,9.6,Queens
408,2017-2018,9.8,Queens
409,2017-2018,5.3,Queens
410,2017-2018,9.7,Queens
501,2017-2018,13.2,Staten Island
502,2017-2018,5.8,Staten Island
503,2017-2018,4.9,Staten Island
504,2017-2018,5.3,Staten Island
101,2021-2022,9.9,Bronx
102,2021-2022,13.9,Bronx
103,2021-2022,17.2,Bronx
104,2021-2022,17.6,Bronx
105,2021-2022,18.3,Bronx
106,2021-2022,11.6,Bronx
107,2021-2022,18.1,Bronx
201,2021-2022,11.5,Brooklyn
202,2021-2022,14.5,Brooklyn
203,2021-2022,12.3,Brooklyn
204,2021-2022,13.3,Brooklyn
205,2021-2022,16.3,Brooklyn
206,2021-2022,9.9,Brooklyn
207,2021-2022,11.0,Brooklyn
208,2021-2022,12.2,Brooklyn
209,2021-2022,16.3,Brooklyn
210,2021-2022,13.5,Brooklyn
211,2021-2022,15.7,Brooklyn
301,2021-2022,13.3,Manhattan
302,2021-2022,16.3,Manhattan
303,2021-2022,12.2,Manhattan
304,2021-2022,16.2,Manhattan
305,2021-2022,12.9,Manhattan
306,2021-2022,12.4,Manhattan
307,2021-2022,9.8,Manhattan
308,2021-2022,9.6,Manhattan
309,2021-2022,14.1,Manhattan
310,2021-2022,17.4,Manhattan
401,2021-2022,16.2,Queens
402,2021-2022,10.1,Queens
403,2021-2022,10.5,Queens
404,2021-2022,13.7,Queens
405,2021-2022,15.7,Queens
406,2021-2022,18.7,Queens
407,2021-2022,13.2,Queens
408,2021-2022,18.6,Queens
409,2021-2022,3.4,Queens
410,2021-2022,12.1,Queens
501,2021-2022,11.6,Staten Island
502,2021-2022,12.3,Staten Island
503,2021-2022,6.0,Staten Island
504,2021-2022,10.2,Staten Island
