"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2021","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","122,000","83.7 (76.2, 89.2)"
"2021","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","201,000","83.3 (74.1, 89.7)"
"2021","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","58,000","83.2 (73.0, 90.1)"
"2021","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","133,000","81.5 (71.8, 88.5)"
"2021","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","67,000","79.6 (68.7, 87.3)"
"2021","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","176,000","79.4 (72.5, 85.0)"
"2021","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","144,000","79.4 (71.4, 85.6)"
"2021","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","235,000","79.1 (73.3, 84.0)"
"2021","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","179,000","79.0 (71.9, 84.7)"
"2021","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","158,000","78.3 (69.7, 85.0)"
"2021","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","172,000","78.0 (70.0, 84.3)"
"2021","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","170,000","77.6 (69.4, 84.1)"
"2021","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","69,000*","77.5* (64.9, 86.5)"
"2021","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","121,000*","77.1* (63.0, 87.0)"
"2021","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","166,000","76.6 (67.5, 83.7)"
"2021","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","154,000","76.3 (67.6, 83.3)"
"2021","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","110,000","76.2 (66.7, 83.6)"
"2021","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","66,000*","76.0* (64.0, 85.0)"
"2021","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","122,000","76.0 (66.6, 83.4)"
"2021","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","191,000","75.3 (68.3, 81.2)"
"2021","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","103,000*","75.0* (62.7, 84.2)"
"2021","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","123,000","73.7 (64.3, 81.3)"
"2021","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","147,000","73.0 (64.0, 80.4)"
"2021","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","119,000","72.2 (63.1, 79.8)"
"2021","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","153,000","72.0 (63.5, 79.1)"
"2021","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","129,000","70.8 (60.5, 79.3)"
"2021","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","113,000*","70.7* (56.8, 81.6)"
"2021","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","275,000","70.6 (64.1, 76.3)"
"2021","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","98,000","70.5 (60.0, 79.3)"
"2021","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","152,000","69.7 (61.4, 76.9)"
"2021","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","134,000","68.6 (61.7, 74.8)"
"2021","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","239,000","68.0 (61.2, 74.1)"
