"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2021","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","8.4","10.4","8.6"
"2021","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","8.2","10.2","8.4"
"2021","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","8.2","10.1","8.3"
"2021","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.7","9.6","8.0"
"2021","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","7.8","9.8","7.9"
"2021","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","7.6","9.6","7.7"
"2021","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","9.2","7.5"
"2021","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.2","9.1","7.4"
"2021","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","7.1","9.0","7.4"
"2021","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.1","9.1","7.3"
"2021","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.0","9.0","7.3"
"2021","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","7.0","9.0","7.1"
"2021","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","7.0","8.9","7.1"
"2021","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","6.8","8.7","6.8"
"2021","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.6","8.5","6.8"
"2021","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","6.5","8.3","6.8"
"2021","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.9","8.8","6.8"
"2021","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","6.8","8.7","6.8"
"2021","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.8","8.7","6.8"
"2021","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.4","8.3","6.7"
"2021","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.4","8.3","6.7"
"2021","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.8","8.8","6.7"
"2021","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.5","8.3","6.7"
"2021","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","6.4","8.0","6.7"
"2021","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.6","8.5","6.6"
"2021","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","6.6","8.6","6.6"
"2021","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.4","8.3","6.6"
"2021","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","6.3","8.0","6.6"
"2021","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","6.3","8.0","6.6"
"2021","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","6.4","8.3","6.6"
"2021","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.5","8.2","6.5"
