"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2021","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","210,000","96.8 (93.4, 98.4)"
"2021","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","151,000","95.9 (85.3, 98.9)"
"2021","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","193,000","95.2 (91.3, 97.4)"
"2021","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","137,000","94.9 (90.3, 97.4)"
"2021","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","282,000","94.7 (90.3, 97.2)"
"2021","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","181,000","93.4 (88.7, 96.2)"
"2021","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","169,000","92.7 (83.6, 96.9)"
"2021","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","153,000","92.1 (86.5, 95.5)"
"2021","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","100,000","92.1 (79.7, 97.2)"
"2021","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","122,000","91.3 (84.6, 95.3)"
"2021","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","192,000","90.5 (83.4, 94.7)"
"2021","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","123,000","90.1 (80.4, 95.3)"
"2021","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","201,000","89.5 (82.4, 93.9)"
"2021","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","197,000","89.4 (83.9, 93.2)"
"2021","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","144,000","89.4 (82.2, 93.9)"
"2021","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","223,000","88.1 (80.5, 93.0)"
"2021","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","181,000","87.8 (81.0, 92.4)"
"2021","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","138,000*","87.4* (73.9, 94.5)"
"2021","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","156,000","87.2 (80.2, 92.0)"
"2021","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","140,000","86.7 (78.5, 92.0)"
"2021","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","74,000","86.4 (74.8, 93.1)"
"2021","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","173,000","86.0 (77.9, 91.5)"
"2021","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","137,000","85.9 (75.6, 92.2)"
"2021","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","204,000","85.7 (76.3, 91.8)"
"2021","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","185,000","85.1 (77.6, 90.4)"
"2021","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","182,000","84.8 (76.0, 90.7)"
"2021","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","184,000","84.3 (76.8, 89.8)"
"2021","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","58,000","84.3 (72.0, 91.8)"
"2021","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","74,000","83.8 (71.4, 91.4)"
"2021","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","317,000","82.8 (77.5, 87.0)"
"2021","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","72,000*","82.7* (70.5, 90.5)"
"2021","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","167,000","80.8 (68.9, 88.9)"
"2021","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","279,000","80.3 (74.0, 85.4)"
"2021","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","114,000","79.5 (68.5, 87.4)"
"2018","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","202,000","96.9 (91.1, 98.9)"
"2018","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","307,000","96.1 (92.3, 98.0)"
"2018","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","138,000","95.3 (90.8, 97.7)"
"2018","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","201,000","94.9 (90.5, 97.3)"
"2018","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","89,000","94.2 (80.3, 98.5)"
"2018","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","196,000","94.1 (88.3, 97.2)"
