"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Percent"
"2021","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","73,000*","43.3* (33.5, 53.7)"
"2021","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","56,000*","41.5* (29.9, 54.1)"
"2021","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","143,000","39.5 (33.1, 46.4)"
"2021","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","31,000*","38.9* (28.0, 51.1)"
"2021","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","59,000*","38.2* (28.6, 48.8)"
"2021","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","50,000*","36.1* (24.9, 49.1)"
"2021","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","53,000*","36.0* (26.1, 47.4)"
"2021","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","54,000*","35.5* (24.8, 47.8)"
"2021","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","69,000*","35.1* (25.7, 45.8)"
"2021","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","70,000","34.9 (26.5, 44.4)"
"2021","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","77,000","33.6 (26.4, 41.6)"
"2021","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","43,000*","33.5* (24.2, 44.4)"
"2021","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","43,000*","33.4* (24.0, 44.2)"
"2021","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","69,000","32.9 (24.7, 42.2)"
"2021","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","67,000","32.1 (25.4, 39.6)"
"2021","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","20,000","31.3 (22.4, 41.8)"
"2021","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","58,000","29.2 (22.3, 37.3)"
"2021","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","59,000","29.2 (22.2, 37.3)"
"2021","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","60,000","29.1 (21.1, 38.6)"
"2021","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","56,000","27.7 (20.7, 36.1)"
"2021","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","48,000","27.1 (19.5, 36.4)"
"2021","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","21,000*","27.0* (17.7, 39.0)"
"2021","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","78,000","25.3 (19.4, 32.3)"
"2021","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","30,000","21.3 (14.4, 30.2)"
"2021","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","39,000","21.0 (13.4, 31.5)"
"2021","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","21,000","19.9 (12.0, 31.0)"
"2021","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","29,000","18.1 (11.1, 28.1)"
"2021","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","32,000","16.2 (10.9, 23.4)"
"2021","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","13,000*","15.6* (8.0, 28.2)"
"2021","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","28,000","15.2 (11.0, 20.7)"
"2021","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","24,000","14.9 (10.4, 20.9)"
"2021","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","25,000","13.6 (8.1, 21.9)"
"2021","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","14,000","11.2 (7.2, 17.0)"
"2021","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","28,000","9.8 (6.1, 15.5)"
"2018","UHF 34","501502","3","5","Staten Island","Northern SI","Northern SI  Staten Island","55,000*","38.8* (27.6, 51.2)"
"2018","UHF 34","302","3","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","46,000","36.6 (28.8, 45.2)"
"2018","UHF 34","410","3","4","Queens","Rockaways","Rockaways  Queens","30,000*","36.4* (26.6, 47.5)"
"2018","UHF 34","503504","3","5","Staten Island","Southern SI","Southern SI  Staten Island","75,000","35.7 (27.6, 44.7)"
"2018","UHF 34","102","3","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","53,000","35.1 (26.6, 44.6)"
"2018","UHF 34","104","3","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","80,000","34.0 (27.6, 40.9)"
"2018","UHF 34","409","3","4","Queens","Southeast Queens","Southeast Queens  Queens","51,000","32.8 (23.8, 43.2)"
"2018","UHF 34","207","3","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","77,000","32.5 (25.2, 40.9)"
"2018","UHF 34","103","3","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","58,000","31.9 (24.3, 40.5)"
"2018","UHF 34","203","3","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","77,000","31.4 (24.9, 38.8)"
"2018","UHF 34","105106107","3","1","Bronx","South Bronx","South Bronx  Bronx","126,000","31.1 (26.5, 36.1)"
"2018","UHF 34","208","3","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","47,000","30.1 (21.4, 40.6)"
"2018","UHF 34","211","3","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","46,000","29.3 (21.0, 39.3)"
"2018","UHF 34","301","3","3","Manhattan","Washington Heights","Washington Heights  Manhattan","60,000","29.2 (22.1, 37.4)"
"2018","UHF 34","209","3","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","47,000","28.6 (22.2, 36.1)"
"2018","UHF 34","201","3","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","29,000*","28.4* (17.9, 41.9)"
"2018","UHF 34","210","3","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","67,000","28.4 (22.1, 35.8)"
"2018","UHF 34","303","3","3","Manhattan","East Harlem","East Harlem  Manhattan","22,000*","26.9* (17.2, 39.3)"
"2018","UHF 34","408","3","4","Queens","Jamaica","Jamaica  Queens","59,000","26.9 (19.3, 36.1)"
"2018","UHF 34","402","3","4","Queens","West Queens","West Queens  Queens","94,000","25.5 (20.1, 31.7)"
"2018","UHF 34","407","3","4","Queens","Southwest Queens","Southwest Queens  Queens","54,000","25.4 (19.2, 32.8)"
"2018","UHF 34","101","3","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","17,000","23.1 (15.7, 32.7)"
"2018","UHF 34","405","3","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","48,000","23.0 (17.2, 30.1)"
"2018","UHF 34","204","3","2","Brooklyn","East New York","East New York  Brooklyn","31,000*","22.4* (13.6, 34.5)"
"2018","UHF 34","404406","3","4","Queens","Bayside Little Neck-Fresh Meadows","Bayside Little Neck-Fresh Meadows  Queens","33,000","22.2 (15.2, 31.3)"
"2018","UHF 34","206","3","2","Brooklyn","Borough Park","Borough Park  Brooklyn","49,000","20.9 (15.6, 27.5)"
"2018","UHF 34","401","3","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","37,000","20.8 (13.4, 30.8)"
"2018","UHF 34","205","3","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","20,000","20.5 (13.6, 29.8)"
"2018","UHF 34","202","3","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","32,000","18.3 (12.7, 25.7)"
"2018","UHF 34","403","3","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","38,000","18.2 (10.9, 28.7)"
"2018","UHF 34","304","3","3","Manhattan","Upper West Side","Upper West Side  Manhattan","31,000","17.0 (10.3, 26.9)"
"2018","UHF 34","309310","3","3","Manhattan","Union Square-Lower Manhattan","Union Square-Lower Manhattan  Manhattan","30,000","14.3 (9.4, 21.1)"
"2018","UHF 34","306308","3","3","Manhattan","Chelsea-Village","Chelsea-Village    Manhattan","26,000","12.9 (7.6, 21.0)"
"2018","UHF 34","305307","3","3","Manhattan","Upper East Side-Gramercy","Upper East Side-Gramercy  Manhattan","27,000","8.8 (5.8, 12.9)"
